class_name,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
BasicWallType,0x01cf,0x01d0,0x01db,0x01db,0x01e1,,,,,,
BeamSystemTag,0x01dc,0x01dd,0x01e8,0x01e9,,,,,,,
BinaryOperatorExpression,0x01e2,0x01e9,0x01ef,0x01f0,,,,,,,
BlendElem,0x01e4,0x01eb,0x01f1,0x01f2,,,,,,,
BooleanParameterValue,0x01e8,,,,,,,,,,
BoundaryConditionsUserData,0x01f5,0x01fa,0x0200,,,,,,,,
Box,0x01f8,0x01fd,,,,,,,,,
BuildingPad,0x0203,0x0208,,,,,,,,,
BuildingPadExtrusionHelper,0x0205,0x020a,,,,,,,,,
CableTray,0x0222,,,,,,,,,,
CeilingAndFloorExtrusionHelper,0x0206,0x020b,,,,,,,,,
Cell,,,,,,,0x0047,0x0047,0x0047,0x0047,0x0047
ConnectorPositionModifier,0x00d5,0x00d2,0x00d4,0x00d5,0x00d8,,0x00ea,0x00ed,0x00ee,0x00fe,0x0107
CurveDriver,0x004a,0x004a,0x004a,0x004a,0x004a,0x004d,,,,,
CurveSegInPlaneRef,0x0147,0x0146,0x0148,0x0149,0x014d,0x015d,0x0168,0x018f,0x0199,,
DimWithSegRefs,0x0095,0x0094,0x0094,0x0094,0x0095,0x0098,0x00a0,0x00a1,0x00a1,0x00ab,0x00b1
ElementExtrusionHelper,0x0207,0x020c,,,,,,,,,
GeomStep,0x0054,0x0054,0x0054,0x0054,0x0054,0x0057,0x0061,0x0062,0x0062,0x0067,0x0067
HostObjAttr,0x005d,0x005d,0x005d,0x005d,0x005d,0x0060,0x006a,0x006b,0x006b,0x0070,0x0070
LineAndArcRunMember,0x0224,,,,,,,,,,
LinearConstraint,0x0094,0x0093,0x0093,0x0093,0x0094,0x0097,0x009f,0x00a0,0x00a0,0x00aa,0x00b0
LoadBase,0x015a,0x0159,0x015e,0x015d,0x0163,0x0173,0x017e,0x01a7,0x01b2,,
MoveAlongMultiDirControl,0x00f6,0x00f3,0x00f5,0x00f6,0x00f9,0x00f4,0x0107,0x0115,0x011f,0x0130,0x0139
ParamDefCombo,0x010e,0x010b,0x010d,0x010e,0x0111,0x0124,0x012d,0x0144,0x014e,0x0161,0x0169
Plane,0x01d8,0x01d9,0x01e4,0x01e5,,,,,,,
PointElementReference,0x0081,0x0080,0x0080,0x0080,0x0080,0x0083,,,,,
RbsCableTrayConduitBase,0x0223,,,,,,,,,,
RbsSingleCurve,0x0225,,,,,,,,,,
ReferencePointGridNetTrackerCell,,,,,,,,0x014a,0x0154,0x0167,0x016f
SpotElevationStyle,,,,,,0x00a6,0x00ae,0x00af,0x00af,0x00b8,0x00be
VWall,0x014a,0x0149,0x014b,0x014c,0x0150,0x0160,0x016b,0x0192,0x019d,,
VWallRectOpening,,,,,0x015b,0x016b,0x0176,0x019d,0x01a8,,
WallCGDriver,0x014f,0x014e,0x0150,0x0151,0x0155,0x0165,0x0170,0x0197,0x01a2,,
